profile sample method avgR ineff p1 p2  change p3 p4 p5 p6 p7
p4 t6 bola  950.044 0.292626 0 3.15201 42 7.5353 0.0808207 0.0611103 996.043 39
p4 t6 dy  886.98 0.283664 109.144 10.2993 20 1.08682 0.111949 0.142239 905.888 92
p4 t6 elastic  1030.2 0.220278 0 13.2277 124 1.66646 0.0778102 0.251402 1095.31 170
p4 t6 gd  909.431 0.295032 22.86 9.01832 8 1.15928 0.103659 0.133082 923.396 87
p4 t6 kama  946.922 0.294432 190.094 11.8218 17 1.23173 0.0993432 0.181112 984.907 119
p4 t6 qlast  913.003 0.240416 55.019 20.2519 106 1.30419 0.215446 0.145901 955.351 94
p4 t6 ra  926.062 0.255753 0 14.0416 14 1.4491 0.192351 0.111479 944.31 73
p4 t7 abr  490.915 0.407699 462.324 2.9275 24 12.7618 0.0861029 0.0518038 530.707 34
p4 t7 ar  998.286 0.345847 438.83 2.15937 64 1.50139 0.0771204 0.042484 1106.31 28
p4 t7 bb  986.573 0.418465 537.602 1.62262 4 1.5848 0.0676093 0.0365346 1075.59 24
p4 t7 bola  843.693 0.359406 14.482 1.63585 10 1.83503 0.065434 0.0380622 899.261 25
p4 t7 dy  866.865 0.359791 433.873 2.81339 35 1.16774 0.0827468 0.0515693 943.14 34
p4 t7 elastic  1097.53 0.286103 0 3.40251 90 1.25116 0.100074 0.0517696 1216.17 34
p4 t7 gd  984.898 0.359171 436.273 4.69282 26 12.9286 0.065178 0.108566 1061.96 72
p4 t7 kama  1175.03 0.367263 449.19 8.38942 29 1.66821 0.0635562 0.197356 1359.03 132
p4 t7 qlast  1107.93 0.349533 438.989 2.00796 78 1.50139 0.083665 0.0364066 1316.12 24
p4 t7 ra  1004.05 0.33643 448.442 9.98943 32 1.66821 0.0768417 0.194556 1086.58 130
